Dataset,Modelo,T̩cnica,Accuracy,Precision (1),Recall (1),F1-score (1),Precision (2),Recall (2),F1-score (2),Precision (3),Recall (3),F1-score (3),Precision (5),Recall (5),F1-score (5),Precision (6),Recall (6),F1-score (6),Precision (7),Recall (7),F1-score (7)
glass+identification,RandomForest,SMOTE,0.9927007299270073,0.967741935483871,1.0,0.9836065573770492,1.0,0.96,0.9795918367346939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
glass+identification,RandomForest,ADASYN,0.9928057553956835,0.9666666666666667,1.0,0.9830508474576272,1.0,0.9615384615384616,0.9803921568627451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
glass+identification,RandomForest,BorderlineSMOTE,0.9927007299270073,0.967741935483871,1.0,0.9836065573770492,1.0,0.96,0.9795918367346939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
glass+identification,LogisticRegression,SMOTE,0.948905109489051,0.9354838709677419,0.9666666666666667,0.9508196721311475,0.95,0.76,0.8444444444444444,0.8235294117647058,1.0,0.9032258064516129,0.9444444444444444,1.0,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,1.0
glass+identification,LogisticRegression,ADASYN,0.9568345323741008,0.9354838709677419,1.0,0.9666666666666667,1.0,0.8076923076923077,0.8936170212765957,0.8636363636363636,1.0,0.926829268292683,0.9545454545454546,1.0,0.9767441860465116,1.0,1.0,1.0,1.0,0.9615384615384616,0.9803921568627451
glass+identification,LogisticRegression,BorderlineSMOTE,0.9562043795620438,0.9354838709677419,0.9666666666666667,0.9508196721311475,0.9523809523809523,0.8,0.8695652173913043,0.8235294117647058,1.0,0.9032258064516129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
glass+identification,KNN,SMOTE,0.9343065693430657,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.8636363636363636,0.76,0.8085106382978723,0.8125,0.9285714285714286,0.8666666666666667,0.8947368421052632,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.9642857142857143,0.9818181818181818
glass+identification,KNN,ADASYN,0.9496402877697842,0.9666666666666667,1.0,0.9830508474576272,1.0,0.8076923076923077,0.8936170212765957,0.9047619047619048,1.0,0.95,0.9130434782608695,1.0,0.9545454545454546,0.9,1.0,0.9473684210526315,1.0,0.9230769230769231,0.96
glass+identification,KNN,BorderlineSMOTE,0.9343065693430657,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.8636363636363636,0.76,0.8085106382978723,0.8,0.8571428571428571,0.8275862068965517,0.8947368421052632,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0
